,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
99,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.6","X20, X21, X23, X27, X32, X38",3.428075737784767e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
100,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.7","X20, X21, X23, X27, X32, X39",2.9995662753824024e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
101,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.4, 1.3.2.6.1.8","X20, X21, X23, X27, X32, X40",2.7853115248982946e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
102,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.1","X20, X21, X23, X28, X29, X33",1.9942171323144518e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
103,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.2","X20, X21, X23, X28, X29, X34",2.175509613721513e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
104,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.3","X20, X21, X23, X28, X29, X35",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
105,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.4","X20, X21, X23, X28, X29, X36",1.9942171323144518e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
106,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.5","X20, X21, X23, X28, X29, X37",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
107,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.6","X20, X21, X23, X28, X29, X38",2.9006794740844693e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
108,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.7","X20, X21, X23, X28, X29, X39",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
109,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.1, 1.3.2.6.1.8","X20, X21, X23, X28, X29, X40",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
110,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.1","X20, X21, X23, X28, X30, X33",2.1755096137215131e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
